Solution Type,States Searched,Unique States Searched,Backtracks,Dominance Moves,States Removed From Cache,Final States In Cache,Final Buckets In Cache,Maximum Search Depth,Final Search Depth,Time Taken (milliseconds),ID
solved,686,330,588,48,0,282,389,98,98,2,game229
solved,1371,312,1287,35,0,277,389,84,84,1,game23
solved,1641,648,1565,30,0,618,769,76,76,2,game230
solved,1512,777,1417,178,0,599,769,95,95,2,game231
solved,502,303,418,47,0,256,389,84,84,0,game232
solved,2651890,638339,2651814,147148,0,491191,786433,76,76,3269,game233
solved,1179,335,1088,120,0,215,389,91,91,2,game234
solved,126,101,40,37,0,64,97,86,86,0,game235
solved,14489,5386,14391,1635,0,3751,6151,98,98,27,game236
unsolvable,2,2,1,0,0,2,53,1,0,0,game237
solved,559545,212581,559455,53108,0,159473,196613,90,90,739,game238
unsolvable,1444323,490632,1444322,194713,0,295919,393241,30,0,1718,game239
solved,965,297,867,104,0,193,193,98,98,1,game24
solved,348,156,230,43,0,113,193,118,118,0,game240
solved,154,91,66,36,0,55,97,88,88,0,game241
unsolvable,48,26,47,0,0,26,53,4,0,0,game242
solved,6073941,1311568,6073842,52607,0,1258961,1572869,114,99,8385,game243
solved,159,91,70,32,0,59,97,89,89,0,game244
solved,11785,5967,11692,4361,0,1606,3079,93,93,9,game245
solved,557614,183891,557523,41788,0,142103,196613,91,91,682,game246
solved,269,150,179,36,0,114,193,90,90,0,game247
solved,2057,828,1939,114,0,714,769,118,118,2,game248
solved,114,78,36,22,0,56,97,78,78,0,game249
solved,116,86,31,30,0,56,97,85,85,0,game25
unsolvable,126646407,40199302,126646406,13289092,0,26910210,50331653,53,0,200777,game250
solved,3241,505,3126,28,0,477,769,115,115,3,game251
solved,231573,69235,231489,33714,0,35521,49157,84,84,205,game252
solved,202,100,117,37,0,63,97,85,85,0,game253
solved,421,199,335,43,0,156,193,86,86,0,game254
solved,23093,10685,23005,645,0,10040,12289,88,88,36,game255
solved,1361,387,1257,45,0,342,389,104,104,1,game256
solved,331,133,235,27,0,106,193,96,96,0,game257
solved,303337,95545,303248,10292,0,85253,98317,89,89,363,game258
solved,10283,2991,10190,198,0,2793,3079,93,93,13,game259
solved,92,82,10,25,0,57,97,82,82,0,game26
solved,224592,107823,224499,22194,0,85629,98317,93,93,322,game260
solved,134297,47249,134189,12550,0,34699,49157,108,108,164,game261
unsolvable,19393782,5831549,19393781,1842063,0,3989486,6291469,86,0,25815,game262
unsolvable,2581,1235,2580,411,0,824,1543,10,0,3,game263
solved,436,319,349,44,0,275,389,87,87,0,game264
solved,1054,498,962,97,0,401,769,92,92,1,game265
solved,3120,512,3027,37,0,475,769,93,93,3,game266
solved,112,92,29,39,0,53,97,83,83,0,game267
solved,1012,478,914,95,0,383,389,98,98,1,game268
solved,127,91,37,34,0,57,97,90,90,0,game269
solved,1106,317,999,96,0,221,389,107,107,1,game27
solved,214,138,120,49,0,89,97,94,94,0,game270
solved,189,101,97,42,0,59,97,92,92,0,game271
solved,479,248,401,35,0,213,389,78,78,1,game272
solved,227,102,138,31,0,71,97,89,89,0,game273
solved,11417,5997,11305,4006,0,1991,3079,112,112,9,game274
solved,92,85,7,33,0,52,53,85,85,0,game275
solved,70559,27315,70478,6667,0,20648,24593,81,81,108,game276
solved,48889,17470,48810,6371,0,11099,12289,79,79,56,game277
solved,826295,243263,826204,7221,0,236042,393241,91,91,1273,game278
solved,3641,1496,3551,282,0,1214,1543,90,90,4,game279
unsolvable,50,33,49,9,0,24,53,8,0,0,game28
solved,3182,1142,3086,330,0,812,1543,96,96,3,game280
unsolvable,13235449,4519433,13235448,986140,0,3533293,6291469,42,0,20594,game281
solved,285,161,196,39,0,122,193,89,89,1,game282
solved,448,216,363,60,0,156,193,85,85,0,game283
solved,7857,1453,7774,44,0,1409,1543,92,83,8,game284
unsolvable,1335758,453266,1335757,173127,0,280139,393241,41,0,1409,game285
solved,136,80,59,20,0,60,97,77,77,0,game286
solved,169,91,79,40,0,51,53,90,90,0,game287
solved,11367183,3329565,11367089,685648,0,2643917,3145739,94,94,15137,game288
solved,323,118,225,30,0,88,97,98,98,0,game289
unsolvable,25503,9536,25502,0,0,9536,12289,16,0,34,game29
solved,109,89,20,32,0,57,97,89,89,0,game290
solved,261,97,164,25,0,72,97,97,97,0,game291
solved,874,410,783,51,0,359,389,91,91,1,game292
unsolvable,117396929,28865322,117396928,5080011,0,23785311,25165843,119,0,173541,game293
solved,60352,26854,60255,14265,0,12589,24593,97,97,73,game294
unsolvable,21260066,6343337,21260065,1557987,0,4785350,6291469,51,0,32447,game295
unsolvable,30497756,10475517,30497755,3421498,0,7054019,12582917,68,0,46280,game296
timed-out,219280871,56324816,219280841,18135175,0,38189641,50331653,63,30,300000,game297
solved,28527,8613,28439,2778,0,5835,6151,88,88,33,game298
unsolvable,422587,153288,422586,53530,0,99758,196613,24,0,542,game299
