Solution Type,States Searched,Unique States Searched,Backtracks,Dominance Moves,States Removed From Cache,Final States In Cache,Final Buckets In Cache,Maximum Search Depth,Final Search Depth,Time Taken (milliseconds),ID
solved,170,125,84,38,0,87,97,86,86,0,game236
unsolvable,868047,279228,868046,32486,0,246742,393241,20,0,2425,game237
solved,15557018,4625261,15556926,1343738,0,3281523,6291469,92,92,21668,game238
solved,215,174,134,36,0,138,193,81,81,0,game239
unsolvable,4354754,1375335,4354753,242837,0,1132498,1572869,27,0,7413,game24
solved,120,89,32,36,0,53,53,88,88,0,game240
solved,1271,364,1184,35,0,329,389,87,87,1,game241
unsolvable,57,45,56,0,0,45,53,6,0,0,game242
unsolvable,2,2,1,0,0,2,53,1,0,0,game243
solved,3035,1346,2943,38,0,1308,1543,92,92,6,game244
solved,3017804,1177342,3017712,351518,0,825824,1572869,92,92,4099,game245
solved,576,209,499,38,0,171,193,77,77,1,game246
solved,26687482,8272430,26687391,2466544,0,5805886,6291469,91,91,38648,game247
solved,169301,86147,169216,55962,0,30185,49157,85,85,144,game248
unsolvable,4,4,3,3,0,1,53,3,0,0,game249
unsolvable,6094934,2327966,6094933,421780,0,1906186,3145739,38,0,11308,game25
unsolvable,52,41,51,1,0,40,53,5,0,0,game250
solved,1166,474,1068,30,0,444,769,98,98,1,game251
solved,377,126,295,42,0,84,97,82,82,0,game252
solved,4244048,769665,4243958,17602,0,752063,786433,90,90,5533,game253
unsolvable,71,47,70,0,0,47,53,5,0,0,game254
solved,206,150,123,51,0,99,193,83,83,0,game255
unsolvable,9404640,3013868,9404639,839260,0,2174608,3145739,49,0,13241,game256
unsolvable,8,8,7,0,0,8,53,3,0,0,game257
solved,278487,68715,278402,404,0,68311,98317,126,85,975,game258
solved,113,89,24,46,0,43,53,89,89,0,game259
solved,616,280,523,105,0,175,193,93,93,0,game26
solved,618,299,537,86,0,213,389,81,81,0,game260
solved,286,111,176,33,0,78,97,110,110,0,game261
solved,6955,2898,6871,638,0,2260,3079,84,84,8,game262
unsolvable,116237,39609,116236,4740,0,34869,49157,19,0,177,game263
solved,133,110,43,44,0,66,97,90,90,0,game264
unsolvable,29,22,28,10,0,12,53,6,0,0,game265
unsolvable,2,2,1,0,0,2,53,1,0,0,game266
solved,288,111,205,26,0,85,97,83,83,0,game267
solved,1247048,436408,1246954,73422,0,362986,393241,94,94,1868,game268
unsolvable,8115,4168,8114,1146,0,3022,3079,17,0,12,game269
solved,1699,850,1603,231,0,619,769,96,96,2,game27
unsolvable,1079297,400389,1079296,109812,0,290577,393241,64,0,1423,game270
unsolvable,1331173,478205,1331172,108473,0,369732,393241,27,0,1720,game271
solved,397,159,301,44,0,115,193,96,96,1,game272
solved,64235,29783,64152,5068,0,24715,49157,83,83,88,game273
solved,1651,526,1555,153,0,373,389,96,96,2,game274
unsolvable,13196,6311,13195,0,0,6311,12289,10,0,27,game275
solved,301901,119473,301818,30674,0,88799,98317,83,83,439,game276
unsolvable,17196,8082,17195,0,0,8082,12289,17,0,31,game277
