Solution Type,States Searched,Unique States Searched,Backtracks,Dominance Moves,States Removed From Cache,Final States In Cache,Final Buckets In Cache,Maximum Search Depth,Final Search Depth,Time Taken (milliseconds),ID
solved,129621,44641,129532,8282,0,36359,49157,89,89,183,game368
solved,3410,730,3321,34,0,696,769,89,89,4,game369
solved,295,197,203,32,0,165,193,92,92,0,game37
solved,238,161,150,28,0,133,193,88,88,0,game370
solved,25750,7580,25661,389,0,7191,12289,89,89,42,game371
solved,47797697,12122577,47797605,2845717,0,9276860,12582917,92,92,66830,game372
solved,80546,29347,80458,11128,0,18219,24593,88,88,98,game373
solved,4364,2522,4272,1256,0,1266,1543,92,92,4,game374
unsolvable,3526,1798,3525,352,0,1446,1543,17,0,5,game375
solved,13002,6680,12904,88,0,6592,12289,98,98,25,game376
timed-out,200061220,41104745,200061175,3128324,0,37976421,50331653,53,45,300000,game377
unsolvable,824,544,823,1,0,543,769,12,0,1,game378
solved,981,363,884,87,0,276,389,97,97,1,game379
unsolvable,4688700,1642504,4688699,598297,0,1044207,1572869,29,0,5885,game38
unsolvable,4,3,3,1,0,2,53,2,0,0,game380
solved,39088,16097,38996,2628,0,13469,24593,92,92,58,game381
unsolvable,3495679,1189968,3495678,263906,0,926062,1572869,53,0,5492,game382
timed-out,208929286,47651445,208929255,9870210,0,37781235,50331653,74,31,300000,game383
solved,1331,465,1231,76,0,389,769,100,100,2,game384
unsolvable,11048262,3560183,11048261,464170,0,3096013,3145739,55,0,19731,game385
solved,13504,4508,13420,812,0,3696,6151,84,84,18,game386
solved,27598,11418,27490,395,0,11023,12289,108,108,49,game387
unsolvable,5004792,1602446,5004791,525520,0,1076926,1572869,53,0,6563,game388
unsolvable,4009871,1531756,4009870,409160,0,1122596,1572869,40,0,5842,game389
unsolvable,7,7,6,0,0,7,53,3,0,0,game39
unsolvable,56585807,17785140,56585806,3878506,0,13906634,25165843,45,0,92006,game390
solved,170,118,73,42,0,76,97,97,97,0,game391
unsolvable,250240,109290,250239,25757,0,83533,98317,35,0,380,game392
solved,2923856,922720,2923766,108651,0,814069,1572869,90,90,3989,game393
solved,117909,38075,117820,925,0,37150,49157,89,89,134,game394
unsolvable,711,468,710,31,0,437,769,22,0,1,game395
