Solution Type,States Searched,Unique States Searched,Backtracks,Dominance Moves,States Removed From Cache,Final States In Cache,Final Buckets In Cache,Maximum Search Depth,Final Search Depth,Time Taken (milliseconds),ID
solved,3992,1421,3898,374,0,1047,1543,94,94,7,game266
solved,236,96,148,34,0,62,97,88,88,0,game267
solved,243,131,135,42,0,89,97,108,108,0,game268
timed-out,39459550,9922399,39459504,1798776,0,8123623,12582917,126,46,60000,game269
solved,29522,6782,29432,2268,0,4514,6151,90,90,32,game27
unsolvable,33231941,10014393,33231940,4216194,0,5798199,6291469,109,0,42052,game270
unsolvable,10778,3985,10777,145,0,3840,6151,24,0,16,game271
solved,725,305,637,62,0,243,389,88,88,2,game272
unsolvable,42024022,15878404,42024021,10094271,0,5784133,6291469,139,0,47825,game273
unsolvable,32474,14653,32473,5781,0,8872,12289,26,0,34,game274
solved,24379,11807,24195,1243,0,10564,12289,184,184,36,game275
solved,158,92,75,33,0,59,97,83,83,0,game276
solved,341,158,245,44,0,114,193,96,96,0,game277
unsolvable,16772813,4585130,16772812,1041260,0,3543870,6291469,55,0,27406,game278
unsolvable,2502,1597,2501,559,0,1038,1543,16,0,3,game279
solved,7269213,2924244,7269125,1550106,0,1374138,1572869,88,88,9079,game28
solved,110,81,29,27,0,54,97,81,81,0,game280
unsolvable,46725133,18473357,46725132,10798763,0,7674594,12582917,89,0,57676,game281
solved,300831,64615,300730,10396,0,54219,98317,101,101,362,game282
solved,125,80,45,19,0,61,97,80,80,0,game283
unsolvable,24187,11120,24186,2581,0,8539,12289,21,0,34,game284
solved,89,77,12,24,0,53,53,77,77,0,game285
solved,789153,221590,789053,45563,0,176027,196613,100,100,1054,game286
unsolvable,2,2,1,1,0,1,53,1,0,0,game287
solved,267,159,183,37,0,122,193,84,84,0,game288
solved,492,184,407,49,0,135,193,85,85,0,game289
solved,6308,2105,6218,550,0,1555,3079,90,90,7,game29
solved,856,398,753,30,0,368,389,103,103,2,game290
unsolvable,2314835,798030,2314834,319966,0,478064,786433,46,0,3088,game291
solved,690,507,600,193,0,314,389,90,90,0,game292
solved,5914,1301,5826,70,0,1231,1543,88,88,7,game293
solved,138,90,50,31,0,59,97,88,88,0,game294
solved,148,90,58,39,0,51,53,90,90,0,game295
unsolvable,16926,7943,16925,3167,0,4776,6151,21,0,20,game296
solved,3630,1775,3544,233,0,1542,1543,86,86,7,game297
solved,16295,5472,16200,222,0,5250,6151,95,95,27,game298
solved,176,97,79,34,0,63,97,97,97,0,game299
solved,17775,3746,17685,415,0,3331,6151,90,90,24,game3
solved,158347,61939,158253,13741,0,48198,49157,94,94,223,game30
solved,199,94,107,34,0,60,97,92,92,0,game300
solved,1393834,344041,1393738,32394,0,311647,393241,96,96,2004,game301
solved,4097,923,4011,273,0,650,769,86,86,4,game302
solved,124,80,46,20,0,60,97,78,78,0,game303
solved,123,88,35,26,0,62,97,88,88,0,game304
solved,145,128,64,29,0,99,193,81,81,0,game305
solved,86,79,7,25,0,54,97,79,79,0,game306
solved,95,78,23,27,0,51,53,72,72,0,game307
solved,697,400,600,125,0,275,389,97,97,1,game308
unsolvable,21239283,6776508,21239282,2806221,0,3970287,6291469,60,0,29788,game309
solved,3397,1061,3315,669,0,392,769,82,82,5,game31
solved,119,94,26,27,0,67,97,93,93,0,game310
solved,4265,1038,4156,28,0,1010,1543,109,109,6,game311
solved,115,81,34,34,0,47,53,81,81,0,game312
solved,302,164,199,32,0,132,193,103,103,0,game313
solved,441253,151437,441148,31419,0,120018,196613,105,105,577,game314
solved,92797,35414,92705,14386,0,21028,24593,92,92,105,game315
solved,76417,34675,76321,15839,0,18836,24593,96,96,105,game316
solved,179294,52249,179193,1126,0,51123,98317,101,101,262,game317
solved,2291973,481531,2291889,146568,0,334963,393241,249,84,2765,game318
solved,973,470,896,89,0,381,389,77,77,3,game319
solved,107,76,31,25,0,51,53,76,76,0,game32
solved,124,82,42,35,0,47,53,82,82,0,game320
solved,7431759,1485021,7431653,255457,0,1229564,1572869,162,106,9672,game321
solved,3112,416,3024,31,0,385,389,88,88,5,game322
solved,43021,11207,42937,29,0,11178,12289,84,84,52,game323
solved,525,298,435,78,0,220,389,90,90,0,game324
