Solution Type,States Searched,Unique States Searched,Backtracks,Dominance Moves,States Removed From Cache,Final States In Cache,Final Buckets In Cache,Maximum Search Depth,Final Search Depth,Time Taken (milliseconds),ID
solved,141,81,60,28,0,53,53,81,81,0,game238
solved,12116,3422,12024,896,0,2526,3079,92,92,25,game239
solved,84,79,5,33,0,46,53,79,79,0,game24
solved,151,84,67,33,0,51,53,84,84,0,game240
solved,5412,2067,5332,1034,0,1033,1543,80,80,7,game241
solved,227,114,139,46,0,68,97,88,88,0,game242
solved,310,120,207,30,0,90,97,103,103,0,game243
solved,525,285,448,33,0,252,389,77,77,1,game244
solved,96,81,15,32,0,49,53,81,81,0,game245
solved,1054,335,969,34,0,301,389,85,85,1,game246
solved,450,202,365,136,0,66,97,85,85,0,game247
solved,179,102,94,40,0,62,97,85,85,0,game248
solved,205,83,123,38,0,45,53,82,82,0,game249
solved,1973,253,1874,30,0,223,389,99,99,1,game25
solved,114,90,42,29,0,61,97,72,72,0,game250
solved,132,91,47,38,0,53,53,85,85,0,game251
solved,528,132,448,38,0,94,97,80,80,0,game252
unsolvable,174,68,173,18,0,50,53,11,0,0,game253
unsolvable,39977228,11768084,39977227,4590897,0,7177187,12582917,359,0,53966,game254
solved,153,76,79,27,0,49,53,74,74,0,game255
solved,1112,506,1018,69,0,437,769,94,94,1,game256
solved,1312925,553977,1312842,350973,0,203004,393241,134,83,1594,game257
solved,604487,136582,604401,35,0,136547,196613,86,86,961,game258
solved,770,225,684,41,0,184,193,86,86,0,game259
solved,107,83,24,35,0,48,53,83,83,0,game26
solved,317,129,214,34,0,95,97,103,103,0,game260
solved,7070,2588,6986,1073,0,1515,1543,84,84,11,game261
solved,270,111,180,35,0,76,97,90,90,0,game262
timed-out,44605731,8244611,44605699,1463523,0,6781088,12582917,74,32,60000,game263
solved,118,81,37,29,0,52,53,81,81,0,game264
solved,273869,48591,273789,1602,0,46989,49157,80,80,316,game265
solved,12064016,2895516,12063940,64917,0,2830599,3145739,76,76,17952,game266
solved,96236,33701,96152,16260,0,17441,24593,84,84,124,game267
solved,6782,3160,6700,1539,0,1621,3079,82,82,7,game268
solved,241,146,163,35,0,111,193,78,78,0,game269
solved,6517,2814,6430,694,0,2120,3079,87,87,16,game27
timed-out,41847687,11407374,41847644,2698386,0,8708988,12582917,94,43,60000,game270
solved,3897,1286,3814,36,0,1250,1543,83,83,7,game271
solved,2509220,672197,2509122,25165,0,647032,786433,98,98,4422,game272
solved,80,73,9,28,0,45,53,71,71,0,game273
solved,157,99,61,27,0,72,97,96,96,0,game274
timed-out,44734298,15441833,44734260,7940593,0,7501240,12582917,64,38,60000,game275
timed-out,48175008,13225359,48174965,5740129,0,7485230,12582917,60,43,60000,game276
unsolvable,118952,53029,118951,11782,0,41247,49157,43,0,205,game277
solved,105,70,35,23,0,47,53,70,70,0,game278
solved,428,277,350,37,0,240,389,78,78,0,game279
solved,132,77,55,29,0,48,53,77,77,0,game28
solved,1105,482,1018,44,0,438,769,87,87,2,game280
solved,147,81,66,31,0,50,53,81,81,0,game281
unsolvable,51396635,25656334,51396634,19956778,0,5699556,6291469,118,0,44636,game282
solved,1223,270,1151,39,0,231,389,72,72,2,game283
solved,9603,2758,9518,31,0,2727,3079,85,85,14,game284
solved,212,109,118,46,0,63,97,94,94,0,game285
solved,24035,7488,23942,3047,0,4441,6151,93,93,36,game286
solved,420,96,344,22,0,74,97,76,76,0,game287
solved,204,98,106,35,0,63,97,98,98,0,game288
solved,88,81,7,35,0,46,53,81,81,0,game289
solved,345,158,261,52,0,106,193,84,84,0,game29
solved,272,125,177,33,0,92,97,95,95,0,game290
solved,761234,195825,761149,66396,0,129429,196613,85,85,999,game291
solved,125,79,46,29,0,50,53,79,79,0,game292
unsolvable,186472,63589,186471,23873,0,39716,49157,22,0,243,game293
solved,78,74,4,29,0,45,53,74,74,0,game294
solved,311,109,202,29,0,80,97,109,109,0,game295
solved,1519,440,1419,59,0,381,389,100,100,2,game296
solved,731,302,650,78,0,224,389,81,81,1,game297
solved,173,105,81,34,0,71,97,92,92,0,game298
unsolvable,8,8,7,6,0,2,53,7,0,0,game299
unsolvable,57569,14827,57568,1313,0,13514,24593,33,0,103,game3
solved,48162,12492,48072,2292,0,10200,12289,90,90,66,game30
solved,207,91,117,33,0,58,97,90,90,0,game300
solved,170,89,81,29,0,60,97,89,89,0,game301
solved,184790,46468,184706,8605,0,37863,49157,84,84,328,game302
solved,3110,975,3016,160,0,815,1543,94,94,4,game303
solved,222,102,122,32,0,70,97,100,100,0,game304
unsolvable,3763,1550,3762,693,0,857,1543,21,0,6,game305
solved,588,271,507,28,0,243,389,81,81,1,game306
solved,5668,2112,5591,23,0,2089,3079,77,77,10,game307
solved,116,89,32,34,0,55,97,84,84,0,game308
solved,13549,3623,13473,117,0,3506,6151,76,76,22,game309
solved,294,129,200,45,0,84,97,94,94,0,game31
unsolvable,1869371,701403,1869370,123358,0,578045,786433,45,0,3404,game310
solved,237,95,142,29,0,66,97,95,95,0,game311
solved,129,87,49,37,0,50,53,80,80,0,game312
solved,146,77,69,28,0,49,53,77,77,0,game313
solved,162,82,82,30,0,52,53,80,80,0,game314
unsolvable,340881,144156,340880,41864,0,102292,196613,28,0,569,game315
unsolvable,560,290,559,47,0,243,389,17,0,2,game316
solved,178,80,100,23,0,57,97,78,78,0,game317
solved,1388,640,1299,459,0,181,193,89,89,1,game318
solved,135,77,58,21,0,56,97,77,77,0,game319
solved,654156,246607,654067,52960,0,193647,196613,89,89,1221,game32
solved,234,95,139,30,0,65,97,95,95,0,game320
solved,366,111,286,29,0,82,97,80,80,0,game321
solved,2445,1076,2353,604,0,472,769,92,92,2,game322
timed-out,56800361,25902285,56800317,18500938,0,7401347,12582917,152,44,60000,game323
solved,143,93,62,33,0,60,97,81,81,0,game324
solved,128,73,56,25,0,48,53,72,72,0,game325
solved,87,67,20,28,0,39,53,67,67,0,game326
solved,101,74,27,27,0,47,53,74,74,0,game327
solved,13103608,3405707,13103538,950331,0,2455376,3145739,70,70,15432,game328
solved,183,91,92,36,0,55,97,91,91,0,game329
solved,5300,2174,5215,386,0,1788,3079,85,85,8,game33
solved,155,84,73,33,0,51,53,82,82,0,game330
solved,79520,14652,79433,35,0,14617,24593,87,87,105,game331
