Solution Type,States Searched,Unique States Searched,Backtracks,Dominance Moves,States Removed From Cache,Final States In Cache,Final Buckets In Cache,Maximum Search Depth,Final Search Depth,Time Taken (milliseconds),ID
solved,111340,47150,111249,7612,0,39538,49157,91,91,143,game308
solved,1249,368,1160,125,0,243,389,89,89,1,game309
timed-out,41960714,10635652,41960674,2625383,0,8010269,12582917,83,40,60579,game31
unsolvable,2,2,1,0,0,2,53,1,0,0,game310
solved,444817,150554,444732,34180,0,116374,196613,85,85,554,game311
solved,244,115,159,28,0,87,97,85,85,0,game312
unsolvable,2581648,926384,2581647,164555,0,761829,786433,45,0,3521,game313
solved,497,288,384,28,0,260,389,113,113,1,game314
unsolvable,19387890,7021500,19387889,3280394,0,3741106,6291469,69,0,25791,game315
solved,957302,384687,957205,189208,0,195479,196613,97,97,1108,game316
solved,1461,833,1372,144,0,689,769,89,89,2,game317
unsolvable,1202329,444021,1202328,23606,0,420415,786433,28,0,2175,game318
unsolvable,22894639,7554280,22894638,1742312,0,5811968,6291469,43,0,35083,game319
solved,157,106,63,32,0,74,97,94,94,0,game32
timed-out,39348862,9287574,39348822,2587922,0,6699652,12582917,49,40,60000,game320
unsolvable,8,7,7,2,0,5,53,3,0,0,game321
solved,573,310,485,32,0,278,389,88,88,1,game322
solved,35422151,11066199,35422054,4572189,0,6494010,12582917,97,97,48567,game323
solved,40695,15129,40613,49,0,15080,24593,82,82,69,game324
solved,1312,734,1193,25,0,709,769,119,119,2,game325
unsolvable,2,2,1,0,0,2,53,1,0,0,game326
unsolvable,4101,2073,4100,388,0,1685,3079,14,0,6,game327
unsolvable,46,28,45,0,0,28,53,6,0,0,game328
solved,565,312,473,80,0,232,389,92,92,0,game329
unsolvable,410,246,409,8,0,238,389,14,0,0,game33
solved,488,285,402,116,0,169,193,86,86,0,game330
solved,7238,2869,7119,1080,0,1789,3079,119,119,8,game331
solved,3870,2522,3770,219,0,2303,3079,100,100,7,game332
solved,15662,6858,15568,40,0,6818,12289,94,94,27,game333
unsolvable,1,1,0,0,0,1,53,0,0,0,game334
solved,1021,557,934,54,0,503,769,87,87,1,game335
unsolvable,525279,190409,525278,13351,0,177058,196613,36,0,719,game336
unsolvable,9,9,8,0,0,9,53,3,0,0,game337
solved,862,549,780,130,0,419,769,82,82,1,game338
unsolvable,6023,2710,6022,0,0,2710,3079,16,0,8,game339
unsolvable,1293,719,1292,0,0,719,769,9,0,2,game34
unsolvable,6,5,5,3,0,2,53,3,0,0,game340
solved,978,639,881,95,0,544,769,97,97,1,game341
unsolvable,193,123,192,18,0,105,193,11,0,0,game342
solved,1202,409,1113,37,0,372,389,89,89,1,game343
solved,228,142,135,42,0,100,193,93,93,0,game344
solved,166279,52178,166188,8588,0,43590,49157,91,91,195,game345
unsolvable,1567407,505731,1567406,10240,0,495491,786433,27,0,2337,game346
unsolvable,9,9,8,0,0,9,53,3,0,0,game347
unsolvable,4403607,1720943,4403606,908464,0,812479,1572869,42,0,5073,game348
solved,2383811,668988,2383720,284098,0,384890,393241,91,91,2686,game349
unsolvable,33390,15605,33389,842,0,14763,24593,16,0,58,game35
unsolvable,5,5,4,0,0,5,53,2,0,0,game350
unsolvable,44100,19016,44099,3907,0,15109,24593,16,0,76,game351
solved,144,94,53,24,0,70,97,91,91,0,game352
unsolvable,1167694,488436,1167693,90267,0,398169,786433,36,0,1909,game353
unsolvable,507999,146461,507998,33750,0,112711,196613,62,0,605,game354
solved,7181204,2641250,7181116,536087,0,2105163,3145739,88,88,13066,game355
unsolvable,6247,2960,6246,6,0,2954,3079,24,0,11,game356
solved,2805917,1094991,2805827,271499,0,823492,1572869,90,90,4028,game357
timed-out,38297999,11199169,38297953,2244419,0,8954750,12582917,94,46,60000,game358
solved,58695,14504,58584,1774,0,12730,24593,111,111,63,game359
solved,3643,1232,3516,45,0,1187,1543,127,127,4,game36
unsolvable,2810,1671,2809,95,0,1576,3079,15,0,5,game360
unsolvable,34661,13365,34660,443,0,12922,24593,20,0,55,game361
solved,538,243,433,35,0,208,389,105,105,0,game362
unsolvable,2,2,1,0,0,2,53,1,0,0,game363
unsolvable,116,60,115,0,0,60,97,5,0,0,game364
unsolvable,102,72,101,17,0,55,97,8,0,0,game365
timed-out,39794666,12148566,39794640,2862709,0,9285857,12582917,44,26,60000,game366
solved,224,105,138,29,0,76,97,86,86,0,game367
unsolvable,11826110,4055081,11826109,964327,0,3090754,3145739,46,0,17321,game368
unsolvable,12100100,5275297,12100099,2202872,0,3072425,3145739,53,0,17313,game369
unsolvable,30427422,10037741,30427421,2076568,0,7961173,12582917,33,0,51793,game37
unsolvable,46,28,45,0,0,28,53,4,0,0,game370
solved,1783,713,1677,122,0,591,769,106,106,3,game371
unsolvable,4548098,2008947,4548097,551695,0,1457252,1572869,47,0,7981,game372
solved,8041,3142,7950,385,0,2757,3079,91,91,11,game373
solved,576,396,482,35,0,361,389,94,94,1,game374
solved,251,177,152,33,0,144,193,99,99,0,game375
unsolvable,3,3,2,2,0,1,53,2,0,0,game376
solved,71033,21837,70937,4413,0,17424,24593,96,96,75,game377
timed-out,43640233,11253245,43640184,3233655,0,8019590,12582917,68,49,60000,game378
