Solution Type,States Searched,Unique States Searched,Backtracks,Dominance Moves,States Removed From Cache,Final States In Cache,Final Buckets In Cache,Maximum Search Depth,Final Search Depth,Time Taken (milliseconds),ID
solved,3806,744,3185,38,0,706,769,621,621,3,game39
solved,15812265,4702444,15812173,1903287,0,2799157,3145739,92,92,19481,game390
solved,76689,28001,76597,8074,0,19927,24593,92,92,94,game391
unsolvable,1460506,496531,1460505,3974,0,492557,786433,34,0,2513,game392
solved,159997,59826,159908,5820,0,54006,98317,89,89,263,game393
solved,320,224,236,52,0,172,193,84,84,0,game394
solved,1270828,325840,1270711,34869,0,290971,393241,117,117,1624,game395
solved,127,107,34,42,0,65,97,93,93,0,game396
unsolvable,2263,1353,2262,134,0,1219,1543,12,0,4,game397
unsolvable,12,10,11,3,0,7,53,5,0,0,game398
solved,23131,8836,23042,2976,0,5860,6151,89,89,25,game399
solved,402,196,310,98,0,98,193,92,92,0,game4
solved,198,134,113,24,0,110,193,85,85,0,game40
unsolvable,117978,62801,117977,13395,0,49406,98317,30,0,204,game400
solved,15308,8031,15218,41,0,7990,12289,90,90,29,game401
solved,241,139,153,39,0,100,193,88,88,0,game402
solved,330,195,238,33,0,162,193,92,92,0,game403
solved,765,404,657,131,0,273,389,108,108,1,game404
solved,505,342,419,42,0,300,389,86,86,1,game405
solved,1664,833,1571,183,0,650,769,93,93,2,game406
solved,141,86,55,33,0,53,53,86,86,0,game407
unsolvable,4014,2123,4013,0,0,2123,3079,14,0,8,game408
solved,2357,1093,2269,139,0,954,1543,88,88,4,game409
solved,12023,5315,11914,42,0,5273,6151,109,109,21,game41
solved,787,438,692,29,0,409,769,95,95,1,game410
solved,108720,51738,108621,13221,0,38517,49157,99,99,203,game411
solved,171,155,78,35,0,120,193,93,93,0,game412
solved,33668,12484,33585,1836,0,10648,12289,83,83,61,game413
solved,198,100,108,45,0,55,97,90,90,0,game414
unsolvable,12,10,11,3,0,7,53,5,0,0,game415
solved,923,250,816,99,0,151,193,107,107,1,game416
